year,state,county,candidate,party,votes,total_county_votes
2000,Arkansas,Crittenden,Ralph Nader,green,97,13234
2000,Arkansas,Crittenden,Other,NA,56,13234
2000,Arkansas,Cross,Al Gore,democrat,3096,6215
2000,Arkansas,Cross,George W. Bush,republican,3033,6215
2000,Arkansas,Cross,Ralph Nader,green,38,6215
2000,Arkansas,Cross,Other,NA,48,6215
2000,Arkansas,Dallas,Al Gore,democrat,1710,3325
2000,Arkansas,Dallas,George W. Bush,republican,1571,3325
2000,Arkansas,Dallas,Ralph Nader,green,21,3325
2000,Arkansas,Dallas,Other,NA,23,3325
2000,Arkansas,Desha,Al Gore,democrat,2776,4495
2000,Arkansas,Desha,George W. Bush,republican,1603,4495
2000,Arkansas,Desha,Ralph Nader,green,38,4495
2000,Arkansas,Desha,Other,NA,78,4495
2000,Arkansas,Drew,Al Gore,democrat,3060,5922
2000,Arkansas,Drew,George W. Bush,republican,2756,5922
2000,Arkansas,Drew,Ralph Nader,green,47,5922
2000,Arkansas,Drew,Other,NA,59,5922
2000,Arkansas,Faulkner,Al Gore,democrat,11950,29216
2000,Arkansas,Faulkner,George W. Bush,republican,16055,29216
2000,Arkansas,Faulkner,Ralph Nader,green,513,29216
2000,Arkansas,Faulkner,Other,NA,698,29216
2000,Arkansas,Franklin,Al Gore,democrat,2674,6140
2000,Arkansas,Franklin,George W. Bush,republican,3277,6140
2000,Arkansas,Franklin,Ralph Nader,green,100,6140
2000,Arkansas,Franklin,Other,NA,89,6140
2000,Arkansas,Fulton,Al Gore,democrat,1976,4108
2000,Arkansas,Fulton,George W. Bush,republican,2036,4108
2000,Arkansas,Fulton,Ralph Nader,green,51,4108
2000,Arkansas,Fulton,Other,NA,45,4108
2000,Arkansas,Garland,Al Gore,democrat,15840,35935
2000,Arkansas,Garland,George W. Bush,republican,19098,35935
2000,Arkansas,Garland,Ralph Nader,green,566,35935
2000,Arkansas,Garland,Other,NA,431,35935
2000,Arkansas,Grant,Al Gore,democrat,2535,6013
2000,Arkansas,Grant,George W. Bush,republican,3285,6013
2000,Arkansas,Grant,Ralph Nader,green,88,6013
2000,Arkansas,Grant,Other,NA,105,6013
2000,Arkansas,Greene,Al Gore,democrat,6319,12484
2000,Arkansas,Greene,George W. Bush,republican,5831,12484
2000,Arkansas,Greene,Ralph Nader,green,205,12484
2000,Arkansas,Greene,Other,NA,129,12484
2000,Arkansas,Hempstead,Al Gore,democrat,3937,7289
2000,Arkansas,Hempstead,George W. Bush,republican,3257,7289
2000,Arkansas,Hempstead,Ralph Nader,green,50,7289
2000,Arkansas,Hempstead,Other,NA,45,7289
2000,Arkansas,Hot Spring,Al Gore,democrat,5527,10981
2000,Arkansas,Hot Spring,George W. Bush,republican,5042,10981
2000,Arkansas,Hot Spring,Ralph Nader,green,202,10981
2000,Arkansas,Hot Spring,Other,NA,210,10981
2000,Arkansas,Howard,Al Gore,democrat,2063,4459
2000,Arkansas,Howard,George W. Bush,republican,2326,4459
2000,Arkansas,Howard,Ralph Nader,green,50,4459
2000,Arkansas,Howard,Other,NA,20,4459
2000,Arkansas,Independence,Al Gore,democrat,5146,11594
2000,Arkansas,Independence,George W. Bush,republican,6145,11594
2000,Arkansas,Independence,Ralph Nader,green,171,11594
2000,Arkansas,Independence,Other,NA,132,11594
2000,Arkansas,Izard,Al Gore,democrat,2587,5032
2000,Arkansas,Izard,George W. Bush,republican,2301,5032
2000,Arkansas,Izard,Ralph Nader,green,76,5032
2000,Arkansas,Izard,Other,NA,68,5032
2000,Arkansas,Jackson,Al Gore,democrat,3651,6072
2000,Arkansas,Jackson,George W. Bush,republican,2280,6072
2000,Arkansas,Jackson,Ralph Nader,green,77,6072
2000,Arkansas,Jackson,Other,NA,64,6072
2000,Arkansas,Jefferson,Al Gore,democrat,17716,27201
2000,Arkansas,Jefferson,George W. Bush,republican,8765,27201
2000,Arkansas,Jefferson,Ralph Nader,green,361,27201
2000,Arkansas,Jefferson,Other,NA,359,27201
2000,Arkansas,Johnson,Al Gore,democrat,3270,7161
2000,Arkansas,Johnson,George W. Bush,republican,3657,7161
2000,Arkansas,Johnson,Ralph Nader,green,109,7161
2000,Arkansas,Johnson,Other,NA,125,7161
2000,Arkansas,Lafayette,Al Gore,democrat,1806,3383
2000,Arkansas,Lafayette,George W. Bush,republican,1538,3383
2000,Arkansas,Lafayette,Ralph Nader,green,27,3383
2000,Arkansas,Lafayette,Other,NA,12,3383
2000,Arkansas,Lawrence,Al Gore,democrat,3255,6040
2000,Arkansas,Lawrence,George W. Bush,republican,2626,6040
2000,Arkansas,Lawrence,Ralph Nader,green,87,6040
2000,Arkansas,Lawrence,Other,NA,72,6040
2000,Arkansas,Lee,Al Gore,democrat,2727,4121
2000,Arkansas,Lee,George W. Bush,republican,1351,4121
2000,Arkansas,Lee,Ralph Nader,green,18,4121
2000,Arkansas,Lee,Other,NA,25,4121
2000,Arkansas,Lincoln,Al Gore,democrat,1957,3546
2000,Arkansas,Lincoln,George W. Bush,republican,1526,3546
2000,Arkansas,Lincoln,Ralph Nader,green,21,3546
2000,Arkansas,Lincoln,Other,NA,42,3546
2000,Arkansas,Little River,Al Gore,democrat,2883,5263
2000,Arkansas,Little River,George W. Bush,republican,2283,5263
2000,Arkansas,Little River,Ralph Nader,green,50,5263
2000,Arkansas,Little River,Other,NA,47,5263
2000,Arkansas,Logan,Al Gore,democrat,3283,8096
2000,Arkansas,Logan,George W. Bush,republican,4487,8096
2000,Arkansas,Logan,Ralph Nader,green,124,8096
2000,Arkansas,Logan,Other,NA,202,8096
