year,state,county,candidate,party,votes,total_county_votes
2008,West Virginia,Wayne,Barack Obama,democrat,6137,15430
2008,West Virginia,Wayne,John McCain,republican,8947,15430
2008,West Virginia,Wayne,Other,NA,346,15430
2008,West Virginia,Webster,Barack Obama,democrat,1552,3057
2008,West Virginia,Webster,John McCain,republican,1386,3057
2008,West Virginia,Webster,Other,NA,119,3057
2008,West Virginia,Wetzel,Barack Obama,democrat,2942,6454
2008,West Virginia,Wetzel,John McCain,republican,3342,6454
2008,West Virginia,Wetzel,Other,NA,170,6454
2008,West Virginia,Wirt,Barack Obama,democrat,782,2326
2008,West Virginia,Wirt,John McCain,republican,1496,2326
2008,West Virginia,Wirt,Other,NA,48,2326
2008,West Virginia,Wood,Barack Obama,democrat,12573,36002
2008,West Virginia,Wood,John McCain,republican,22896,36002
2008,West Virginia,Wood,Other,NA,533,36002
2008,West Virginia,Wyoming,Barack Obama,democrat,2735,7530
2008,West Virginia,Wyoming,John McCain,republican,4621,7530
2008,West Virginia,Wyoming,Other,NA,174,7530
2008,Wisconsin,Adams,Barack Obama,democrat,5806,9986
2008,Wisconsin,Adams,John McCain,republican,3974,9986
2008,Wisconsin,Adams,Other,NA,206,9986
2008,Wisconsin,Ashland,Barack Obama,democrat,5818,8574
2008,Wisconsin,Ashland,John McCain,republican,2634,8574
2008,Wisconsin,Ashland,Other,NA,122,8574
2008,Wisconsin,Barron,Barack Obama,democrat,12078,22886
2008,Wisconsin,Barron,John McCain,republican,10457,22886
2008,Wisconsin,Barron,Other,NA,351,22886
2008,Wisconsin,Bayfield,Barack Obama,democrat,5972,9468
2008,Wisconsin,Bayfield,John McCain,republican,3365,9468
2008,Wisconsin,Bayfield,Other,NA,131,9468
2008,Wisconsin,Brown,Barack Obama,democrat,67269,124754
2008,Wisconsin,Brown,John McCain,republican,55854,124754
2008,Wisconsin,Brown,Other,NA,1631,124754
2008,Wisconsin,Buffalo,Barack Obama,democrat,3949,7000
2008,Wisconsin,Buffalo,John McCain,republican,2923,7000
2008,Wisconsin,Buffalo,Other,NA,128,7000
2008,Wisconsin,Burnett,Barack Obama,democrat,4337,8688
2008,Wisconsin,Burnett,John McCain,republican,4200,8688
2008,Wisconsin,Burnett,Other,NA,151,8688
2008,Wisconsin,Calumet,Barack Obama,democrat,13295,26474
2008,Wisconsin,Calumet,John McCain,republican,12722,26474
2008,Wisconsin,Calumet,Other,NA,457,26474
2008,Wisconsin,Chippewa,Barack Obama,democrat,16239,30231
2008,Wisconsin,Chippewa,John McCain,republican,13492,30231
2008,Wisconsin,Chippewa,Other,NA,500,30231
2008,Wisconsin,Clark,Barack Obama,democrat,7454,14187
2008,Wisconsin,Clark,John McCain,republican,6383,14187
2008,Wisconsin,Clark,Other,NA,350,14187
2008,Wisconsin,Columbia,Barack Obama,democrat,16661,29272
2008,Wisconsin,Columbia,John McCain,republican,12193,29272
2008,Wisconsin,Columbia,Other,NA,418,29272
2008,Wisconsin,Crawford,Barack Obama,democrat,4987,7981
2008,Wisconsin,Crawford,John McCain,republican,2830,7981
2008,Wisconsin,Crawford,Other,NA,164,7981
2008,Wisconsin,Dane,Barack Obama,democrat,205984,282939
2008,Wisconsin,Dane,John McCain,republican,73065,282939
2008,Wisconsin,Dane,Other,NA,3890,282939
2008,Wisconsin,Dodge,Barack Obama,democrat,19183,42823
2008,Wisconsin,Dodge,John McCain,republican,23015,42823
2008,Wisconsin,Dodge,Other,NA,625,42823
2008,Wisconsin,Door,Barack Obama,democrat,10142,17481
2008,Wisconsin,Door,John McCain,republican,7112,17481
2008,Wisconsin,Door,Other,NA,227,17481
2008,Wisconsin,Douglas,Barack Obama,democrat,15830,24066
2008,Wisconsin,Douglas,John McCain,republican,7835,24066
2008,Wisconsin,Douglas,Other,NA,401,24066
2008,Wisconsin,Dunn,Barack Obama,democrat,13002,22989
2008,Wisconsin,Dunn,John McCain,republican,9566,22989
2008,Wisconsin,Dunn,Other,NA,421,22989
2008,Wisconsin,Eau Claire,Barack Obama,democrat,33146,55010
2008,Wisconsin,Eau Claire,John McCain,republican,20959,55010
2008,Wisconsin,Eau Claire,Other,NA,905,55010
2008,Wisconsin,Florence,Barack Obama,democrat,1134,2685
2008,Wisconsin,Florence,John McCain,republican,1512,2685
2008,Wisconsin,Florence,Other,NA,39,2685
2008,Wisconsin,Fond du Lac,Barack Obama,democrat,23463,52323
2008,Wisconsin,Fond du Lac,John McCain,republican,28164,52323
2008,Wisconsin,Fond du Lac,Other,NA,696,52323
2008,Wisconsin,Forest,Barack Obama,democrat,2673,4683
2008,Wisconsin,Forest,John McCain,republican,1963,4683
2008,Wisconsin,Forest,Other,NA,47,4683
2008,Wisconsin,Grant,Barack Obama,democrat,14875,24320
2008,Wisconsin,Grant,John McCain,republican,9068,24320
2008,Wisconsin,Grant,Other,NA,377,24320
2008,Wisconsin,Green,Barack Obama,democrat,11502,18534
2008,Wisconsin,Green,John McCain,republican,6730,18534
2008,Wisconsin,Green,Other,NA,302,18534
2008,Wisconsin,Green Lake,Barack Obama,democrat,4000,9536
2008,Wisconsin,Green Lake,John McCain,republican,5393,9536
2008,Wisconsin,Green Lake,Other,NA,143,9536
2008,Wisconsin,Iowa,Barack Obama,democrat,7987,11969
2008,Wisconsin,Iowa,John McCain,republican,3829,11969
2008,Wisconsin,Iowa,Other,NA,153,11969
2008,Wisconsin,Iron,Barack Obama,democrat,1914,3432
2008,Wisconsin,Iron,John McCain,republican,1464,3432
2008,Wisconsin,Iron,Other,NA,54,3432
2008,Wisconsin,Jackson,Barack Obama,democrat,5572,9251
2008,Wisconsin,Jackson,John McCain,republican,3552,9251
2008,Wisconsin,Jackson,Other,NA,127,9251
2008,Wisconsin,Jefferson,Barack Obama,democrat,21448,43166
2008,Wisconsin,Jefferson,John McCain,republican,21096,43166
2008,Wisconsin,Jefferson,Other,NA,622,43166
2008,Wisconsin,Juneau,Barack Obama,democrat,6186,11530
2008,Wisconsin,Juneau,John McCain,republican,5148,11530
2008,Wisconsin,Juneau,Other,NA,196,11530
2008,Wisconsin,Kenosha,Barack Obama,democrat,45836,78789
2008,Wisconsin,Kenosha,John McCain,republican,31609,78789
2008,Wisconsin,Kenosha,Other,NA,1344,78789
2008,Wisconsin,Kewaunee,Barack Obama,democrat,5902,10787
2008,Wisconsin,Kewaunee,John McCain,republican,4711,10787
2008,Wisconsin,Kewaunee,Other,NA,174,10787
2008,Wisconsin,La Crosse,Barack Obama,democrat,38524,63218
2008,Wisconsin,La Crosse,John McCain,republican,23701,63218
2008,Wisconsin,La Crosse,Other,NA,993,63218
2008,Wisconsin,Lafayette,Barack Obama,democrat,4732,7831
2008,Wisconsin,Lafayette,John McCain,republican,2984,7831
2008,Wisconsin,Lafayette,Other,NA,115,7831
2008,Wisconsin,Langlade,Barack Obama,democrat,5182,10402
2008,Wisconsin,Langlade,John McCain,republican,5081,10402
2008,Wisconsin,Langlade,Other,NA,139,10402
2008,Wisconsin,Lincoln,Barack Obama,democrat,8424,15268
2008,Wisconsin,Lincoln,John McCain,republican,6519,15268
2008,Wisconsin,Lincoln,Other,NA,325,15268
2008,Wisconsin,Manitowoc,Barack Obama,democrat,22428,42414
2008,Wisconsin,Manitowoc,John McCain,republican,19234,42414
2008,Wisconsin,Manitowoc,Other,NA,752,42414
2008,Wisconsin,Marathon,Barack Obama,democrat,36367,67940
2008,Wisconsin,Marathon,John McCain,republican,30345,67940
2008,Wisconsin,Marathon,Other,NA,1228,67940
2008,Wisconsin,Marinette,Barack Obama,democrat,11195,21255
2008,Wisconsin,Marinette,John McCain,republican,9726,21255
2008,Wisconsin,Marinette,Other,NA,334,21255
2008,Wisconsin,Marquette,Barack Obama,democrat,4068,7846
2008,Wisconsin,Marquette,John McCain,republican,3654,7846
2008,Wisconsin,Marquette,Other,NA,124,7846
2008,Wisconsin,Menominee,Barack Obama,democrat,1257,1448
2008,Wisconsin,Menominee,John McCain,republican,185,1448
2008,Wisconsin,Menominee,Other,NA,6,1448
2008,Wisconsin,Milwaukee,Barack Obama,democrat,319819,475192
2008,Wisconsin,Milwaukee,John McCain,republican,149445,475192
2008,Wisconsin,Milwaukee,Other,NA,5928,475192
2008,Wisconsin,Monroe,Barack Obama,democrat,10198,19152
2008,Wisconsin,Monroe,John McCain,republican,8666,19152
2008,Wisconsin,Monroe,Other,NA,288,19152
2008,Wisconsin,Oconto,Barack Obama,democrat,9927,18968
2008,Wisconsin,Oconto,John McCain,republican,8755,18968
2008,Wisconsin,Oconto,Other,NA,286,18968
2008,Wisconsin,Oneida,Barack Obama,democrat,11907,21927
2008,Wisconsin,Oneida,John McCain,republican,9630,21927
2008,Wisconsin,Oneida,Other,NA,390,21927
2008,Wisconsin,Outagamie,Barack Obama,democrat,50294,91563
2008,Wisconsin,Outagamie,John McCain,republican,39677,91563
2008,Wisconsin,Outagamie,Other,NA,1592,91563
2008,Wisconsin,Ozaukee,Barack Obama,democrat,20579,53365
2008,Wisconsin,Ozaukee,John McCain,republican,32172,53365
2008,Wisconsin,Ozaukee,Other,NA,614,53365
2008,Wisconsin,Pepin,Barack Obama,democrat,2102,3771
2008,Wisconsin,Pepin,John McCain,republican,1616,3771
2008,Wisconsin,Pepin,Other,NA,53,3771
2008,Wisconsin,Pierce,Barack Obama,democrat,11803,22107
2008,Wisconsin,Pierce,John McCain,republican,9812,22107
2008,Wisconsin,Pierce,Other,NA,492,22107
2008,Wisconsin,Polk,Barack Obama,democrat,10876,22643
2008,Wisconsin,Polk,John McCain,republican,11282,22643
2008,Wisconsin,Polk,Other,NA,485,22643
2008,Wisconsin,Portage,Barack Obama,democrat,24817,39422
2008,Wisconsin,Portage,John McCain,republican,13810,39422
2008,Wisconsin,Portage,Other,NA,795,39422
2008,Wisconsin,Price,Barack Obama,democrat,4559,8194
2008,Wisconsin,Price,John McCain,republican,3461,8194
2008,Wisconsin,Price,Other,NA,174,8194
2008,Wisconsin,Racine,Barack Obama,democrat,53408,100642
2008,Wisconsin,Racine,John McCain,republican,45954,100642
2008,Wisconsin,Racine,Other,NA,1280,100642
2008,Wisconsin,Richland,Barack Obama,democrat,5041,8450
2008,Wisconsin,Richland,John McCain,republican,3298,8450
2008,Wisconsin,Richland,Other,NA,111,8450
2008,Wisconsin,Rock,Barack Obama,democrat,50529,79169
2008,Wisconsin,Rock,John McCain,republican,27364,79169
2008,Wisconsin,Rock,Other,NA,1276,79169
2008,Wisconsin,Rusk,Barack Obama,democrat,3855,7272
2008,Wisconsin,Rusk,John McCain,republican,3253,7272
2008,Wisconsin,Rusk,Other,NA,164,7272
2008,Wisconsin,St. Croix,Barack Obama,democrat,21177,44821
2008,Wisconsin,St. Croix,John McCain,republican,22837,44821
2008,Wisconsin,St. Croix,Other,NA,807,44821
2008,Wisconsin,Sauk,Barack Obama,democrat,18617,30626
2008,Wisconsin,Sauk,John McCain,republican,11562,30626
2008,Wisconsin,Sauk,Other,NA,447,30626
2008,Wisconsin,Sawyer,Barack Obama,democrat,4765,9085
2008,Wisconsin,Sawyer,John McCain,republican,4199,9085
2008,Wisconsin,Sawyer,Other,NA,121,9085
2008,Wisconsin,Shawano,Barack Obama,democrat,10259,20089
2008,Wisconsin,Shawano,John McCain,republican,9538,20089
2008,Wisconsin,Shawano,Other,NA,292,20089
2008,Wisconsin,Sheboygan,Barack Obama,democrat,30395,62107
2008,Wisconsin,Sheboygan,John McCain,republican,30801,62107
2008,Wisconsin,Sheboygan,Other,NA,911,62107
2008,Wisconsin,Taylor,Barack Obama,democrat,4563,9346
2008,Wisconsin,Taylor,John McCain,republican,4586,9346
2008,Wisconsin,Taylor,Other,NA,197,9346
2008,Wisconsin,Trempealeau,Barack Obama,democrat,8321,13314
2008,Wisconsin,Trempealeau,John McCain,republican,4808,13314
2008,Wisconsin,Trempealeau,Other,NA,185,13314
2008,Wisconsin,Vernon,Barack Obama,democrat,8463,14075
2008,Wisconsin,Vernon,John McCain,republican,5367,14075
2008,Wisconsin,Vernon,Other,NA,245,14075
2008,Wisconsin,Vilas,Barack Obama,democrat,6491,13750
2008,Wisconsin,Vilas,John McCain,republican,7055,13750
2008,Wisconsin,Vilas,Other,NA,204,13750
2008,Wisconsin,Walworth,Barack Obama,democrat,24177,50422
2008,Wisconsin,Walworth,John McCain,republican,25485,50422
2008,Wisconsin,Walworth,Other,NA,760,50422
2008,Wisconsin,Washburn,Barack Obama,democrat,4693,9112
2008,Wisconsin,Washburn,John McCain,republican,4303,9112
2008,Wisconsin,Washburn,Other,NA,116,9112
2008,Wisconsin,Washington,Barack Obama,democrat,25719,74411
2008,Wisconsin,Washington,John McCain,republican,47729,74411
2008,Wisconsin,Washington,Other,NA,963,74411
2008,Wisconsin,Waukesha,Barack Obama,democrat,85339,232897
2008,Wisconsin,Waukesha,John McCain,republican,145152,232897
2008,Wisconsin,Waukesha,Other,NA,2406,232897
2008,Wisconsin,Waupaca,Barack Obama,democrat,12952,25511
2008,Wisconsin,Waupaca,John McCain,republican,12232,25511
2008,Wisconsin,Waupaca,Other,NA,327,25511
2008,Wisconsin,Waushara,Barack Obama,democrat,5868,11849
2008,Wisconsin,Waushara,John McCain,republican,5770,11849
2008,Wisconsin,Waushara,Other,NA,211,11849
2008,Wisconsin,Winnebago,Barack Obama,democrat,48167,87677
2008,Wisconsin,Winnebago,John McCain,republican,37946,87677
2008,Wisconsin,Winnebago,Other,NA,1564,87677
2008,Wisconsin,Wood,Barack Obama,democrat,21710,39052
2008,Wisconsin,Wood,John McCain,republican,16581,39052
2008,Wisconsin,Wood,Other,NA,761,39052
2008,Wyoming,Albany,Barack Obama,democrat,8644,17201
2008,Wyoming,Albany,John McCain,republican,7936,17201
2008,Wyoming,Albany,Other,NA,621,17201
2008,Wyoming,Big Horn,Barack Obama,democrat,1108,5341
2008,Wyoming,Big Horn,John McCain,republican,4045,5341
2008,Wyoming,Big Horn,Other,NA,188,5341
2008,Wyoming,Campbell,Barack Obama,democrat,2990,16385
2008,Wyoming,Campbell,John McCain,republican,13011,16385
2008,Wyoming,Campbell,Other,NA,384,16385
2008,Wyoming,Carbon,Barack Obama,democrat,2336,6900
2008,Wyoming,Carbon,John McCain,republican,4331,6900
2008,Wyoming,Carbon,Other,NA,233,6900
2008,Wyoming,Converse,Barack Obama,democrat,1380,6501
2008,Wyoming,Converse,John McCain,republican,4922,6501
2008,Wyoming,Converse,Other,NA,199,6501
2008,Wyoming,Crook,Barack Obama,democrat,612,3706
2008,Wyoming,Crook,John McCain,republican,2967,3706
2008,Wyoming,Crook,Other,NA,127,3706
2008,Wyoming,Fremont,Barack Obama,democrat,6016,17715
2008,Wyoming,Fremont,John McCain,republican,11083,17715
2008,Wyoming,Fremont,Other,NA,616,17715
2008,Wyoming,Goshen,Barack Obama,democrat,1832,5965
2008,Wyoming,Goshen,John McCain,republican,3942,5965
2008,Wyoming,Goshen,Other,NA,191,5965
2008,Wyoming,Hot Springs,Barack Obama,democrat,619,2564
2008,Wyoming,Hot Springs,John McCain,republican,1834,2564
2008,Wyoming,Hot Springs,Other,NA,111,2564
2008,Wyoming,Johnson,Barack Obama,democrat,908,4375
2008,Wyoming,Johnson,John McCain,republican,3334,4375
2008,Wyoming,Johnson,Other,NA,133,4375
2008,Wyoming,Laramie,Barack Obama,democrat,16072,41806
2008,Wyoming,Laramie,John McCain,republican,24549,41806
2008,Wyoming,Laramie,Other,NA,1185,41806
2008,Wyoming,Lincoln,Barack Obama,democrat,1823,8615
2008,Wyoming,Lincoln,John McCain,republican,6485,8615
2008,Wyoming,Lincoln,Other,NA,307,8615
2008,Wyoming,Natrona,Barack Obama,democrat,10475,33473
2008,Wyoming,Natrona,John McCain,republican,21906,33473
2008,Wyoming,Natrona,Other,NA,1092,33473
2008,Wyoming,Niobrara,Barack Obama,democrat,244,1304
2008,Wyoming,Niobrara,John McCain,republican,1017,1304
2008,Wyoming,Niobrara,Other,NA,43,1304
2008,Wyoming,Park,Barack Obama,democrat,3757,15049
2008,Wyoming,Park,John McCain,republican,10839,15049
2008,Wyoming,Park,Other,NA,453,15049
2008,Wyoming,Platte,Barack Obama,democrat,1407,4597
2008,Wyoming,Platte,John McCain,republican,3002,4597
2008,Wyoming,Platte,Other,NA,188,4597
2008,Wyoming,Sheridan,Barack Obama,democrat,4458,15039
2008,Wyoming,Sheridan,John McCain,republican,10177,15039
2008,Wyoming,Sheridan,Other,NA,404,15039
2008,Wyoming,Sublette,Barack Obama,democrat,936,4375
2008,Wyoming,Sublette,John McCain,republican,3316,4375
2008,Wyoming,Sublette,Other,NA,123,4375
2008,Wyoming,Sweetwater,Barack Obama,democrat,5762,16833
2008,Wyoming,Sweetwater,John McCain,republican,10360,16833
2008,Wyoming,Sweetwater,Other,NA,711,16833
2008,Wyoming,Teton,Barack Obama,democrat,7472,12359
2008,Wyoming,Teton,John McCain,republican,4565,12359
2008,Wyoming,Teton,Other,NA,322,12359
2008,Wyoming,Uinta,Barack Obama,democrat,2317,8418
2008,Wyoming,Uinta,John McCain,republican,5763,8418
2008,Wyoming,Uinta,Other,NA,338,8418
2008,Wyoming,Washakie,Barack Obama,democrat,1042,4100
2008,Wyoming,Washakie,John McCain,republican,2956,4100
2008,Wyoming,Washakie,Other,NA,102,4100
2008,Wyoming,Weston,Barack Obama,democrat,658,3414
2008,Wyoming,Weston,John McCain,republican,2618,3414
2008,Wyoming,Weston,Other,NA,138,3414
2008,Connecticut,Statewide writein,Barack Obama,democrat,NA,0
2008,Maine,Maine UOCAVA,Barack Obama,democrat,NA,0
2008,Rhode Island,Federal Precinct,Barack Obama,democrat,NA,0
2008,Connecticut,Statewide writein,John McCain,republican,NA,0
2008,Maine,Maine UOCAVA,John McCain,republican,NA,0
2008,Rhode Island,Federal Precinct,John McCain,republican,NA,0
2008,Connecticut,Statewide writein,Other,NA,NA,0
2008,Maine,Maine UOCAVA,Other,NA,NA,0
2008,Rhode Island,Federal Precinct,Other,NA,NA,0
2012,Alabama,Autauga,Barack Obama,democrat,6363,23932
2012,Alabama,Autauga,Mitt Romney,republican,17379,23932
2012,Alabama,Autauga,Other,NA,190,23932
2012,Alabama,Baldwin,Barack Obama,democrat,18424,85338
2012,Alabama,Baldwin,Mitt Romney,republican,66016,85338
2012,Alabama,Baldwin,Other,NA,898,85338
2012,Alabama,Barbour,Barack Obama,democrat,5912,11509
2012,Alabama,Barbour,Mitt Romney,republican,5550,11509
2012,Alabama,Barbour,Other,NA,47,11509
2012,Alabama,Bibb,Barack Obama,democrat,2202,8420
2012,Alabama,Bibb,Mitt Romney,republican,6132,8420
2012,Alabama,Bibb,Other,NA,86,8420
2012,Alabama,Blount,Barack Obama,democrat,2970,24006
2012,Alabama,Blount,Mitt Romney,republican,20757,24006
2012,Alabama,Blount,Other,NA,279,24006
2012,Alabama,Bullock,Barack Obama,democrat,4061,5322
2012,Alabama,Bullock,Mitt Romney,republican,1251,5322
2012,Alabama,Bullock,Other,NA,10,5322
2012,Alabama,Butler,Barack Obama,democrat,4374,9496
2012,Alabama,Butler,Mitt Romney,republican,5087,9496
2012,Alabama,Butler,Other,NA,35,9496
2012,Alabama,Calhoun,Barack Obama,democrat,15511,46257
2012,Alabama,Calhoun,Mitt Romney,republican,30278,46257
